state, probability,
[37; 12; 0; 1],5.7637906275e-51,
[37; 11; 2; 0],1.84515106424e-53,
[37; 11; 1; 1],1.53701083529e-51,
[37; 11; 0; 2],6.40165012392e-50,
[37; 10; 3; 0],4.92040284209e-54,
[37; 10; 2; 1],4.09869556422e-52,
[37; 10; 1; 2],1.70710670115e-50,
[37; 10; 0; 3],4.74006626976e-49,
[37; 9; 4; 0],1.31210742566e-54,
[37; 9; 3; 1],1.09298548471e-52,
[37; 9; 2; 2],4.55228454021e-51,
[37; 9; 1; 3],1.264017673e-49,
[37; 9; 0; 4],2.63231680194e-48,
[37; 8; 5; 0],3.49895313803e-55,
[37; 8; 4; 1],2.91462796167e-53,
[37; 8; 3; 2],1.21394254508e-51,
[37; 8; 2; 3],3.37071379749e-50,
[37; 8; 1; 4],7.01951147773e-49,
[37; 8; 0; 5],1.16945061126e-47,
[37; 7; 6; 0],9.33054170926e-56,
[37; 7; 5; 1],7.77234123766e-54,
[37; 7; 4; 2],3.23718012292e-52,
[37; 7; 3; 3],8.9885701342e-51,
[37; 7; 2; 4],1.87186972897e-49,
[37; 7; 1; 5],3.11853496599e-48,
[37; 7; 0; 6],4.32956604102e-47,
[37; 6; 7; 0],2.48814445789e-56,
[37; 6; 6; 1],2.07262433178e-54,
[37; 6; 5; 2],8.63248033505e-53,
[37; 6; 4; 3],2.3969520378e-51,
[37; 6; 3; 4],4.99165261477e-50,
[37; 6; 2; 5],8.31609324962e-49,
[37; 6; 1; 6],1.15455094524e-47,
[37; 6; 0; 7],1.37391562375e-46,
[37; 5; 8; 0],6.63505189329e-57,
[37; 5; 7; 1],5.52699822273e-55,
[37; 5; 6; 2],2.30199475795e-53,
[37; 5; 5; 3],6.39187210617e-52,
[37; 5; 4; 4],1.33110736506e-50,
[37; 5; 3; 5],2.21762486843e-49,
[37; 5; 2; 6],3.07880252323e-48,
[37; 5; 1; 7],3.66377499974e-47,
[37; 5; 0; 8],3.81490571546e-46,
[37; 4; 9; 0],1.76934717303e-57,
[37; 4; 8; 1],1.47386619397e-55,
[37; 4; 7; 2],6.13865269301e-54,
[37; 4; 6; 3],1.70449922974e-52,
[37; 4; 5; 4],3.54961964313e-51,
[37; 4; 4; 5],5.91366632078e-50,
[37; 4; 3; 6],8.21014006885e-49,
[37; 4; 2; 7],9.77006667419e-48,
[37; 4; 1; 8],1.01730819165e-46,
[37; 4; 0; 9],9.41575247744e-46,
[37; 3; 10; 0],4.71825913204e-58,
[37; 3; 9; 1],3.93030985388e-56,
[37; 3; 8; 2],1.63697405285e-54,
[37; 3; 7; 3],4.54533128314e-53,
[37; 3; 6; 4],9.46565238964e-52,
[37; 3; 5; 5],1.57697768687e-50,
[37; 3; 4; 6],2.18937068686e-49,
[37; 3; 3; 7],2.60535111531e-48,
[37; 3; 2; 8],2.71282184667e-47,
[37; 3; 1; 9],2.51086732943e-46,
[37; 3; 0; 10],2.09155248376e-45,
[37; 2; 11; 0],1.25820243627e-58,
[37; 2; 10; 1],1.04808262858e-56,
[37; 2; 9; 2],4.36526414459e-55,
[37; 2; 8; 3],1.21208834319e-53,
[37; 2; 7; 4],2.52417397269e-52,
[37; 2; 6; 5],4.20527383517e-51,
[37; 2; 5; 6],5.83832183654e-50,
[37; 2; 4; 7],6.94760297999e-49,
[37; 2; 3; 8],7.23419159718e-48,
[37; 2; 2; 9],6.69564621743e-47,
[37; 2; 1; 10],5.5774732947e-46,
[37; 2; 0; 11],4.22366840983e-45,
[37; 1; 12; 0],3.35520649953e-59,
[37; 1; 11; 1],2.7948870119e-57,
[37; 1; 10; 2],1.16407043953e-55,
[37; 1; 9; 3],3.23223558455e-54,
[37; 1; 8; 4],6.73113059949e-53,
[37; 1; 7; 5],1.12140635699e-51,
[37; 1; 6; 6],1.55688582439e-50,
[37; 1; 5; 7],1.85269412955e-49,
[37; 1; 4; 8],1.92911776087e-48,
[37; 1; 3; 9],1.78550565948e-47,
[37; 1; 2; 10],1.48732621317e-46,
[37; 1; 1; 11],1.1263115769e-45,
[37; 1; 0; 12],7.81847952346e-45,
[37; 0; 13; 0],8.94721733961e-60,
[37; 0; 12; 1],7.45303203799e-58,
[37; 0; 11; 2],3.10418784137e-56,
[37; 0; 10; 3],8.61929489937e-55,
[37; 0; 9; 4],1.79496816137e-53,
[37; 0; 8; 5],2.99041695448e-52,
[37; 0; 7; 6],4.15169553518e-51,
[37; 0; 6; 7],4.94051768296e-50,
[37; 0; 5; 8],5.14431403331e-49,
[37; 0; 4; 9],4.76134842928e-48,
[37; 0; 3; 10],3.96620323845e-47,
[37; 0; 2; 11],3.00349754092e-46,
[37; 0; 1; 12],2.08492787467e-45,
[37; 0; 0; 13],1.33595762941e-44,
[36; 14; 0; 0],8.57192075015e-51,
[36; 13; 1; 0],2.28584553529e-51,
[36; 13; 0; 1],1.90410932939e-49,
[36; 12; 2; 0],6.09558809923e-52,
[36; 12; 1; 1],5.07762488264e-50,
[36; 12; 0; 2],2.11483076195e-48,
[36; 11; 3; 0],1.62549016116e-52,
[36; 11; 2; 1],1.35403330318e-50,
[36; 11; 1; 2],5.63954870326e-49,
[36; 11; 0; 3],1.5659146887e-47,
[36; 10; 4; 0],4.3346404334e-53,
[36; 10; 3; 1],3.61075547817e-51,
[36; 10; 2; 2],1.50387965547e-49,
[36; 10; 1; 3],4.17577250671e-48,
[36; 10; 0; 4],8.69604623833e-47,
[36; 9; 5; 0],1.15590411655e-53,
[36; 9; 4; 1],9.6286812832e-52,
[36; 9; 3; 2],4.01034575128e-50,
[36; 9; 2; 3],1.11353933606e-48,
[36; 9; 1; 4],2.3189456655e-47,
[36; 9; 0; 5],3.86336347567e-46,
[36; 8; 6; 0],3.08241098004e-54,
[36; 8; 5; 1],2.56764834434e-52,
[36; 8; 4; 2],1.06942553457e-50,
[36; 8; 3; 3],2.96943823198e-49,
[36; 8; 2; 4],6.1838551132e-48,
[36; 8; 1; 5],1.03023026104e-46,
[36; 8; 0; 6],1.43030301128e-45,
[36; 7; 7; 0],8.21976262035e-55,
[36; 7; 6; 1],6.84706225733e-53,
[36; 7; 5; 2],2.85180142792e-51,
[36; 7; 4; 3],7.9185019586e-50,
[36; 7; 3; 4],1.64902803157e-48,
[36; 7; 2; 5],2.74728069842e-47,
[36; 7; 1; 6],3.81414136663e-46,
[36; 7; 0; 7],4.53882822269e-45,
[36; 6; 8; 0],2.1919367006e-55,
[36; 6; 7; 1],1.82588327016e-53,
[36; 6; 6; 2],7.60480381418e-52,
[36; 6; 5; 3],2.11160052407e-50,
[36; 6; 4; 4],4.39740808789e-49,
[36; 6; 3; 5],7.32608186862e-48,
[36; 6; 2; 6],1.01710436529e-46,
[36; 6; 1; 7],1.21035419373e-45,
[36; 6; 0; 8],1.26028130323e-44,
[36; 5; 9; 0],5.84516453985e-56,
[36; 5; 8; 1],4.86902205784e-54,
